RDS
250,3,coupMissing,
1,6,coup3371,coupMissing,coupMissing,coupMissing,8,hash1359,hash850,hash3006,hash2895,hash1779,hash587,hash2808,NA,NA,
2,5,coup2940,coupMissing,coupMissing,coupMissing,8,hash153,hash448,hash1027,hash2015,hash3732,hash857,NA,NA,NA,
3,8,coup367,coup7093,coup7869,coupMissing,8,hash3386,hash3223,hash377,hash59,hash2400,hash3011,hash1065,hash2738,hash1927,
4,6,coup6983,coupMissing,coupMissing,coupMissing,8,hash3681,hash3187,hash959,hash2283,hash192,hash2944,hash3672,NA,NA,
5,3,coup5309,coupMissing,coupMissing,coupMissing,8,hash2616,hash3522,hash1683,hash3988,NA,NA,NA,NA,NA,
6,4,coup7864,coupMissing,coupMissing,coupMissing,8,hash1251,hash150,hash1732,hash3165,hash341,NA,NA,NA,NA,
7,4,coup3261,coupMissing,coupMissing,coupMissing,8,hash2827,hash1168,hash711,hash3645,hash3361,NA,NA,NA,NA,
8,5,coup7423,coupMissing,coupMissing,coupMissing,8,hash2108,hash2523,hash3319,hash766,hash1387,hash2526,NA,NA,NA,
9,5,coup2980,coupMissing,coupMissing,coupMissing,8,hash3149,hash3077,hash3067,hash2097,hash2661,hash2106,NA,NA,NA,
10,5,coup7577,coupMissing,coupMissing,coupMissing,8,hash1375,hash646,hash412,hash3483,hash1312,hash2128,NA,NA,NA,
11,6,coup6083,coupMissing,coupMissing,coupMissing,8,hash247,hash2562,hash1472,hash2970,hash459,hash2557,hash3786,NA,NA,
12,5,coup359,coup8498,coup2180,coupMissing,8,hash2968,hash3083,hash1027,hash2051,hash1295,hash2196,NA,NA,NA,
13,3,coup328,coup7969,coup2240,coupMissing,8,hash2411,hash2890,hash3180,hash726,NA,NA,NA,NA,NA,
14,6,coup4471,coup3067,coup5056,coupMissing,8,hash3374,hash1779,hash2806,hash3865,hash2776,hash1800,hash2061,NA,NA,
15,6,coup558,coup6972,coup6828,coupMissing,8,hash3839,hash3755,hash2105,hash205,hash1516,hash286,hash627,NA,NA,
16,5,coup3728,coupMissing,coupMissing,coupMissing,8,hash394,hash1629,hash2754,hash2567,hash498,hash2953,NA,NA,NA,
17,6,coup8918,coup9588,coup4524,coupMissing,8,hash3747,hash2623,hash2938,hash2532,hash3353,hash3328,hash261,NA,NA,
