RDS
500,3,coupMissing,
1,7,coup1882,coup2783,coup4797,coupMissing,10,hash27408,hash184986,hash192860,hash78251,hash155845,hash199520,hash145630,hash19053,NA,NA,NA,
2,7,coup4907,coup4585,coup265,coupMissing,10,hash206272,hash140131,hash46538,hash147141,hash97369,hash80308,hash202555,hash48379,NA,NA,NA,
3,6,coup2076,coupMissing,coupMissing,coupMissing,10,hash75749,hash192842,hash156880,hash153264,hash209733,hash30839,hash162275,NA,NA,NA,NA,
4,4,coup2180,coup2070,coup4527,coupMissing,10,hash140557,hash37133,hash248842,hash186055,hash127354,NA,NA,NA,NA,NA,NA,
5,6,coup2284,coup3697,coup3440,coupMissing,10,hash78024,hash108359,hash172007,hash208454,hash220791,hash112653,hash123803,NA,NA,NA,NA,
6,5,coup3394,coup3087,coup1363,coupMissing,10,hash165189,hash145072,hash74717,hash32528,hash12137,hash214954,NA,NA,NA,NA,NA,
7,5,coup4158,coupMissing,coupMissing,coupMissing,10,hash233896,hash11188,hash176670,hash97369,hash200924,hash29315,NA,NA,NA,NA,NA,
8,5,coup808,coup2284,coup266,coupMissing,10,hash108359,hash215775,hash126056,hash227119,hash78024,hash109195,NA,NA,NA,NA,NA,
9,5,coup2778,coup3347,coup2021,coupMissing,10,hash10098,hash24353,hash46366,hash241447,hash100651,hash251365,NA,NA,NA,NA,NA,
10,4,coup3545,coupMissing,coupMissing,coupMissing,10,hash39169,hash47522,hash215530,hash207660,hash230056,NA,NA,NA,NA,NA,NA,
11,6,coup1079,coupMissing,coupMissing,coupMissing,10,hash127825,hash1773,hash222409,hash171251,hash87374,hash180483,hash22663,NA,NA,NA,NA,
12,5,coup3180,coup580,coup3158,coupMissing,10,hash109889,hash199328,hash126560,hash163059,hash122941,hash153538,NA,NA,NA,NA,NA,
13,5,coup3562,coup4503,coup3101,coupMissing,10,hash79226,hash172483,hash89783,hash9416,hash67450,hash51968,NA,NA,NA,NA,NA,
14,4,coup4503,coupMissing,coupMissing,coupMissing,10,hash9416,hash90591,hash61692,hash104776,hash79226,NA,NA,NA,NA,NA,NA,
15,5,coup1081,coupMissing,coupMissing,coupMissing,10,hash232934,hash161601,hash38347,hash208937,hash152028,hash29895,NA,NA,NA,NA,NA,
16,4,coup2376,coupMissing,coupMissing,coupMissing,10,hash202996,hash146484,hash54711,hash154543,hash225035,NA,NA,NA,NA,NA,NA,
17,4,coup1488,coupMissing,coupMissing,coupMissing,10,hash99932,hash171802,hash13745,hash12137,hash207822,NA,NA,NA,NA,NA,NA,
18,5,coup866,coup4535,coup4654,coupMissing,10,hash210089,hash219560,hash144481,hash221708,hash254301,hash78924,NA,NA,NA,NA,NA,
19,6,coup4978,coupMissing,coupMissing,coupMissing,10,hash222628,hash222249,hash54825,hash183021,hash252252,hash101121,hash51144,NA,NA,NA,NA,
20,4,coup1938,coupMissing,coupMissing,coupMissing,10,hash209150,hash108593,hash40272,hash85519,hash23191,NA,NA,NA,NA,NA,NA,
21,4,coup2157,coupMissing,coupMissing,coupMissing,10,hash147232,hash233110,hash195079,hash131569,hash30839,NA,NA,NA,NA,NA,NA,
22,6,coup1187,coupMissing,coupMissing,coupMissing,10,hash98507,hash193316,hash182328,hash131192,hash120007,hash117376,hash225672,NA,NA,NA,NA,
23,5,coup1036,coup1632,coup4553,coupMissing,10,hash113570,hash192842,hash242663,hash148597,hash194634,hash11376,NA,NA,NA,NA,NA,
24,7,coup3708,coupMissing,coupMissing,coupMissing,10,hash187194,hash243416,hash21038,hash200504,hash101761,hash233333,hash109473,hash51968,NA,NA,NA,
